gene	transcripts	position	strand	chromosome	cage peak ranges
CELF4	ENST00000591287.1,ENST00000601019.1,ENST00000361795.5,ENST00000591282.1	35145687.5	-	chr18	[(35145593, 35145607), (35145678, 35145687), (35145730, 35145817)]
CELF5	all	3224700.0	+	chr19	[(3224594, 3224601), (3224647, 3224693), (3224694, 3224697), (3224700, 3224759), (3224871, 3224916)]
CELF6	all	72612345.5	-	chr15	[(72612148, 72612158), (72612221, 72612230), (72612245, 72612269), (72612284, 72612289), (72612292, 72612320), (72612470, 72612529), (72612531, 72612542), (72612543, 72612544)]
CELSR1	all	46933066.0	-	chr22	[(46932902, 46932907), (46932951, 46932959), (46933051, 46933077), (46933101, 46933111), (46933118, 46933151), (46933157, 46933163), (46933219, 46933232)]
CELSR2	all	109792640.0	+	chr1	[(109792721, 109792749), (109792779, 109792783)]
CELSR3	all	48700347.0	-	chr3	[(48700310, 48700347), (48700434, 48700462)]
CENPA	all	27008864.0	+	chr2	[(27008888, 27008968)]
CENPB	all	3767336.0	-	chr20	[(3767126, 3767146), (3767324, 3767443)]
CENPBD1	all	90038941.0	-	chr16	[(90038842, 90038847), (90038866, 90038937), (90038942, 90038953)]
CENPC	all	68411323.0	-	chr4	[(68411152, 68411174), (68411182, 68411240), (68411245, 68411267), (68411275, 68411286)]
CENPE	all	104119565.0	-	chr4	[(104119488, 104119512), (104119528, 104119570)]
CENPF	all	214776537.0	+	chr1	[(214776516, 214776565), (214776570, 214776593), (214776602, 214776615)]
CENPH	all	68485374.0	+	chr5	[(68485363, 68485431), (68485433, 68485447)]
CENPI	all	100353177.0	+	chrX	[(100353153, 100353207)]
CENPJ	all	25497017.0	-	chr13	[(25496926, 25497034), (25497044, 25497063), (25497074, 25497075), (25497086, 25497089)]
CENPK	ENST00000242872.3	64850791.0	-	chr5	[(64850705, 64850724), (64850755, 64850768)]
CENPK	ENST00000514814.1,ENST00000396679.1	64858995.5	-	chr5	[(64858805, 64858808), (64858944, 64859002), (64859136, 64859160)]
CENPL	all	173793290.0	-	chr1	[(173793158, 173793163), (173793246, 173793306), (173793311, 173793324), (173793332, 173793337), (173793377, 173793421), (173793458, 173793479), (173793480, 173793504)]
CENPM	all	42343167.0	-	chr22	[(42343026, 42343029), (42343092, 42343107), (42343117, 42343181)]
CENPN	all	81040102.0	+	chr16	[(81040091, 81040112), (81040113, 81040172)]
CENPO	ENST00000260662.1	25016332.0	+	chr2	[(25016265, 25016280), (25016282, 25016339), (25016349, 25016364)]
CENPO	ENST00000380834.2	25016013.0	+	chr2	[(25015968, 25016029), (25016086, 25016099)]
CENPO	all	25016172.5	+	chr2	[(25015968, 25016029), (25016086, 25016099), (25016265, 25016280), (25016282, 25016339), (25016349, 25016364)]
CENPP	all	95087765.0	+	chr9	[(95087733, 95087749), (95087753, 95087764), (95087819, 95087824), (95087914, 95087950), (95087961, 95087973)]
CENPQ	all	49431090.0	+	chr6	[(49431048, 49431059), (49431073, 49431135)]
CENPT	ENST00000219172.3	67867798.0	-	chr16	[(67867749, 67867852)]
CENPT	ENST00000440851.2	67869240.0	-	chr16	[]
CENPT	ENST00000562787.1	67881360.0	-	chr16	[(67881534, 67881549)]
CENPU	all	185655285.0	-	chr4	[(185655212, 185655260), (185655278, 185655291)]
CENPV	all	16256812.0	-	chr17	[(16256660, 16256678), (16256704, 16256712), (16256718, 16256811)]
CENPW	all	126661319.0	+	chr6	[(126661233, 126661250), (126661253, 126661356), (126661371, 126661378), (126661395, 126661402), (126661474, 126661492)]
CEP104	all	3773762.0	-	chr1	[(3773747, 3773793), (3773934, 3773965)]
CEP120	ENST00000306467.5	122758996.0	-	chr5	[(122758863, 122758874), (122758885, 122758934), (122758938, 122758959), (122758965, 122758980), (122758990, 122758991), (122758994, 122759027), (122759032, 122759115), (122759131, 122759136)]
CEP120	ENST00000328236.5	122759285.0	-	chr5	[(122759032, 122759115), (122759131, 122759136), (122759214, 122759226), (122759279, 122759286)]
CEP120	all	122759140.5	-	chr5	[(122758938, 122758959), (122758965, 122758980), (122758990, 122758991), (122758994, 122759027), (122759032, 122759115), (122759131, 122759136), (122759214, 122759226), (122759279, 122759286)]
CEP128	ENST00000281129.3	81405883.0	-	chr14	[]
CEP128	ENST00000555265.1	81408128.0	-	chr14	[(81408012, 81408023), (81408035, 81408057), (81408063, 81408088), (81408093, 81408123)]
CEP135	all	56815146.0	+	chr4	[(56814968, 56815018), (56815025, 56815043), (56815059, 56815068), (56815072, 56815097), (56815102, 56815127), (56815242, 56815247), (56815278, 56815279)]
CEP152	all	49103260.0	-	chr15	[(49103196, 49103232), (49103235, 49103301), (49103327, 49103335)]
CEP164	all	117198570.0	+	chr11	[(117198545, 117198607), (117198611, 117198624), (117198631, 117198649), (117198652, 117198659)]
CEP170	all	243418351.0	-	chr1	[(243418313, 243418316), (243418338, 243418343), (243418344, 243418356), (243418359, 243418382), (243418401, 243418402), (243418447, 243418457), (243418472, 243418591)]
CEP170B	all	105331649.0	+	chr14	[(105331596, 105331656)]
CEP19	all	196439163.0	-	chr3	[(196439065, 196439167)]
CEP192	all	12991360.0	+	chr18	[(12991281, 12991293), (12991307, 12991320), (12991339, 12991393), (12991396, 12991420)]
CEP250	all	34043149.0	+	chr20	[(34042950, 34042961), (34042962, 34043028), (34043085, 34043137), (34043159, 34043175), (34043272, 34043293)]
CEP290	ENST00000309041.7	88535746.0	-	chr12	[(88535620, 88535642), (88535702, 88535744), (88535818, 88535825), (88535830, 88535841), (88535842, 88535876)]
CEP290	ENST00000552810.1	88535992.0	-	chr12	[(88535818, 88535825), (88535830, 88535841), (88535842, 88535876)]
CEP290	all	88535869.0	-	chr12	[(88535702, 88535744), (88535818, 88535825), (88535830, 88535841), (88535842, 88535876)]
CEP350	all	179923872.0	+	chr1	[(179923716, 179923724), (179923793, 179923798), (179923875, 179923954)]
CEP41	all	130081077.0	-	chr7	[(130080818, 130080908), (130080914, 130080923), (130080977, 130080988), (130081049, 130081056), (130081072, 130081100)]
CEP44	ENST00000296519.4	175220220.0	+	chr4	[]
CEP44	ENST00000503780.1	175204827.0	+	chr4	[(175204692, 175204697), (175204745, 175204750), (175204818, 175204833), (175204851, 175204863), (175204865, 175204915), (175204955, 175204970)]
CEP55	all	95256388.0	+	chr10	[(95256356, 95256408), (95256421, 95256437)]
CEP57	all	95523624.0	+	chr11	[(95523418, 95523425), (95523621, 95523710), (95523723, 95523734), (95523735, 95523755)]
CEP57L1	ENST00000336977.4	109416355.0	+	chr6	[(109416208, 109416232), (109416285, 109416290), (109416309, 109416318), (109416322, 109416331), (109416341, 109416393), (109416394, 109416403)]
CEP57L1	ENST00000521522.1,ENST00000368970.2,ENST00000520883.1	109416720.0	+	chr6	[(109416687, 109416722), (109416740, 109416747)]
CEP63	all	134204989.25	+	chr3	[(134204848, 134204875), (134204881, 134204913), (134204925, 134204930), (134204933, 134204940), (134204958, 134204998), (134205000, 134205098)]
CEP68	all	65283505.0	+	chr2	[(65283513, 65283516), (65283517, 65283527), (65283529, 65283591)]
CEP70	all	138313089.0	-	chr3	[(138312894, 138312913), (138313057, 138313132), (138313156, 138313163), (138313181, 138313193), (138313230, 138313238)]
CEP72	all	612395.0	+	chr5	[(612413, 612424), (612440, 612480)]
CEP76	all	12702772.0	-	chr18	[(12702631, 12702655), (12702657, 12702707), (12702711, 12702733), (12702741, 12702748), (12702751, 12702758), (12702769, 12702780)]
CEP78	ENST00000415759.2,ENST00000376597.4,ENST00000277082.5,ENST00000376598.2	80851153.0	+	chr9	[(80850952, 80851042), (80851044, 80851051), (80851104, 80851105)]
CEP78	ENST00000424347.2,ENST00000415759.2,ENST00000376597.4,ENST00000277082.5	80851080.75	+	chr9	[(80850952, 80851042), (80851044, 80851051), (80851104, 80851105)]
CEP78	all	80851117.8	+	chr9	[(80850952, 80851042), (80851044, 80851051), (80851104, 80851105)]
CEP85	all	26560692.0	+	chr1	[(26560649, 26560675), (26560676, 26560725)]
CEP85L	all	118973053.0	-	chr6	[(118972847, 118972858), (118972999, 118973003), (118973015, 118973024), (118973044, 118973052), (118973074, 118973086)]
CEP89	all	33462868.0	-	chr19	[(33462794, 33462807), (33462816, 33462897), (33462926, 33462933), (33462979, 33462980)]
CEP95	all	62502705.0	+	chr17	[(62502860, 62502933)]
CEP97	ENST00000341893.3	101442768.0	+	chr3	[]
CEP97	ENST00000494050.1	101443498.0	+	chr3	[(101443272, 101443318), (101443349, 101443353), (101443431, 101443440), (101443446, 101443471), (101443473, 101443474), (101443476, 101443515)]
CEPT1	ENST00000357172.4	111682847.0	+	chr1	[(111682629, 111682666), (111682827, 111682882), (111683021, 111683034)]
CEPT1	ENST00000545121.1	111682248.0	+	chr1	[(111682058, 111682130), (111682147, 111682154), (111682221, 111682237), (111682241, 111682268), (111682273, 111682290), (111682291, 111682329), (111682437, 111682443)]
CERCAM	all	131182758.0	+	chr9	[(131182562, 131182565), (131182697, 131182748), (131182767, 131182772), (131182797, 131182804), (131182805, 131182816), (131182837, 131182843), (131182873, 131182893)]
CERK	all	47134157.0	-	chr22	[(47133994, 47134001), (47134077, 47134216)]
CERKL	all	182521782.5	-	chr2	[(182521699, 182521708), (182521748, 182521757), (182521783, 182521792), (182521811, 182521820), (182521823, 182521853), (182521855, 182521867), (182521934, 182521969)]
CERS1	all	19006947.5	-	chr19	[(19006890, 19006919), (19006920, 19006972), (19006975, 19006996)]
CERS2	all	150947458.5	-	chr1	[(150947281, 150947298), (150947299, 150947328), (150947343, 150947360), (150947455, 150947504), (150947575, 150947583)]
CERS3	ENST00000284382.4	101084924.0	-	chr15	[(101084881, 101084893), (101084895, 101084898), (101084922, 101084924), (101084929, 101084932)]
CERS3	ENST00000284382.4,ENST00000394113.1	101084770.5	-	chr15	[(101084585, 101084586), (101084881, 101084893), (101084895, 101084898), (101084922, 101084924), (101084929, 101084932)]
CERS3	ENST00000538112.2,ENST00000394113.1	101084546.0	-	chr15	[(101084446, 101084488), (101084493, 101084496), (101084547, 101084553), (101084585, 101084586)]
CERS4	all	8274237.5	+	chr19	[(8274185, 8274193), (8274204, 8274265), (8274428, 8274452)]
CERS5	all	50561147.0	-	chr12	[(50561075, 50561180), (50561251, 50561259), (50561282, 50561310), (50561315, 50561320)]
CERS6	all	169312371.0	+	chr2	[(169312350, 169312362), (169312365, 169312390), (169312535, 169312561)]
CES1	ENST00000360526.3,ENST00000361503.4	55867083.0	-	chr16	[(55866982, 55866993), (55866997, 55867041), (55867146, 55867153), (55867209, 55867231)]
CES1	ENST00000422046.2	55867248.0	-	chr16	[(55867146, 55867153), (55867209, 55867231)]
CES1	all	55867138.0	-	chr16	[(55866982, 55866993), (55866997, 55867041), (55867146, 55867153), (55867209, 55867231)]
CES2	all	66968354.0	+	chr16	[(66968343, 66968402), (66968403, 66968423), (66968424, 66968436)]
CES3	all	66995143.0	+	chr16	[(66995121, 66995142), (66995144, 66995184), (66995187, 66995203)]
CES5A	ENST00000290567.9	55909254.0	-	chr16	[(55909231, 55909242), (55909261, 55909266), (55909272, 55909287)]
CES5A	ENST00000521992.1	55989942.0	-	chr16	[(55989939, 55989946), (55989962, 55989965)]
CETN1	all	580366.0	+	chr18	[(580312, 580313), (580356, 580363), (580370, 580403), (580538, 580586)]
CETN2	all	151999320.0	-	chrX	[(151999174, 151999179), (151999438, 151999444)]
CETN3	all	89705602.0	-	chr5	[(89705506, 89705511), (89705520, 89705521), (89705537, 89705610)]
CETP	all	56995761.0	+	chr16	[(56995833, 56995836), (56995854, 56995876)]
CFB	all	31895500.0	+	chr6	[(31895287, 31895313), (31895335, 31895346), (31895354, 31895365), (31895396, 31895427), (31895438, 31895449), (31895467, 31895479), (31895480, 31895530)]
CFD	all	859452.0	+	chr19	[(859496, 859501), (859568, 859571)]
CFDP1	all	75467382.0	-	chr16	[(75467274, 75467283), (75467318, 75467408)]
CFH	all	196621007.0	+	chr1	[(196620880, 196620886), (196620917, 196620918), (196620919, 196620930), (196620961, 196620966), (196620974, 196620989), (196621002, 196621021), (196621046, 196621050)]
CFHR4	all	196857143.0	+	chr1	[(196857222, 196857223)]
CFI	ENST00000394634.2	110723334.0	-	chr4	[(110723142, 110723181), (110723194, 110723197), (110723224, 110723236), (110723252, 110723291), (110723298, 110723312), (110723340, 110723356)]
CFI	all	110723270.0	-	chr4	[(110723142, 110723181), (110723194, 110723197), (110723224, 110723236), (110723252, 110723291), (110723298, 110723312), (110723340, 110723356)]
CFL1	ENST00000308162.5	65625803.0	-	chr11	[(65625643, 65625659), (65625678, 65625687)]
CFL1	ENST00000525451.2	65626885.0	-	chr11	[(65626772, 65626786), (65626797, 65626819), (65626838, 65626843), (65626861, 65626874), (65626920, 65626946)]
CFL2	ENST00000298159.6	35183895.0	-	chr14	[(35183743, 35183754), (35183755, 35183770), (35183771, 35183784), (35183785, 35183826), (35183837, 35183867), (35183868, 35183883), (35183886, 35183895), (35183899, 35183910), (35183968, 35183977), (35184008, 35184042), (35184046, 35184069), (35184076, 35184093)]
CFL2	ENST00000341223.3	35183033.0	-	chr14	[(35182855, 35182856), (35182919, 35182926), (35182939, 35182950), (35182965, 35182987), (35182994, 35183013)]
CFLAR	ENST00000309955.3,ENST00000341582.6	201980877.5	+	chr2	[(201980867, 201980923), (201980961, 201980975), (201980995, 201981024), (201981047, 201981066), (201981068, 201981069), (201981070, 201981093)]
CFLAR	ENST00000423241.2	201983213.0	+	chr2	[(201983154, 201983166), (201983178, 201983184), (201983197, 201983224), (201983245, 201983265), (201983276, 201983296), (201983381, 201983425)]
CFP	ENST00000247153.3	47489703.0	-	chrX	[(47489680, 47489710)]
CFP	ENST00000396992.3	47489363.0	-	chrX	[]
CFTR	all	117120016.0	+	chr7	[(117119930, 117119939), (117119969, 117119973), (117120070, 117120087), (117120106, 117120117)]
CGA	all	87804823.0	-	chr6	[]
CGB	all	49527589.0	-	chr19	[]
CGB5	all	49547140.0	+	chr19	[(49547099, 49547106)]
CGGBP1	ENST00000309534.6,ENST00000482016.1	88108207.0	-	chr3	[(88108083, 88108179), (88108192, 88108203), (88108212, 88108223)]
CGGBP1	ENST00000398392.2	88106458.0	-	chr3	[]
CGGBP1	ENST00000462901.1	88199034.0	-	chr3	[(88198962, 88198975), (88198986, 88198999), (88199008, 88199035), (88199050, 88199053), (88199055, 88199059)]
CGN	all	151483872.0	+	chr1	[(151483829, 151483832), (151483855, 151483871), (151483881, 151483912), (151483924, 151483940)]
CGNL1	all	57668702.0	+	chr15	[(57668666, 57668678), (57668679, 57668690), (57668695, 57668734)]
CGREF1	all	27341879.6667	-	chr2	[(27341765, 27341777), (27341787, 27341794), (27341816, 27341825), (27341829, 27341832), (27341833, 27341838), (27341840, 27341864), (27341872, 27341891), (27341901, 27341908), (27341918, 27341963), (27341966, 27342023), (27342062, 27342072)]
CGRRF1	all	54976545.0	+	chr14	[(54976520, 54976531), (54976575, 54976602), (54976603, 54976676)]
CH25H	all	90967070.0	-	chr10	[(90966904, 90966913), (90966948, 90966958), (90967063, 90967082), (90967222, 90967229)]
CHAC1	all	41245346.0	+	chr15	[(41245167, 41245201), (41245255, 41245259)]
CHAC2	all	53994928.0	+	chr2	[(53994768, 53994786), (53994866, 53994870), (53994911, 53994914), (53994919, 53994924), (53994927, 53994979), (53994980, 53994991), (53994992, 53995005), (53995056, 53995067), (53995070, 53995086), (53995088, 53995107)]
CHAF1A	all	4402658.0	+	chr19	[(4402476, 4402493), (4402579, 4402606), (4402613, 4402658), (4402659, 4402673), (4402683, 4402692)]
CHAF1B	all	37757675.0	+	chr21	[(37757668, 37757731), (37757841, 37757842)]
CHAMP1	all	115079987.0	+	chr13	[(115079788, 115079799), (115079801, 115079832), (115079841, 115079866), (115079949, 115080022)]
CHAT	ENST00000337653.2,ENST00000395562.2	50822082.0	+	chr10	[]
CHAT	ENST00000339797.1	50817140.0	+	chr10	[(50817177, 50817220)]
CHAT	ENST00000351556.3,ENST00000395559.2	50821153.0	+	chr10	[(50821137, 50821149)]
CHCHD1	all	75541820.0	+	chr10	[(75541796, 75541836), (75541963, 75541964)]
CHCHD10	all	24110128.0	-	chr22	[(24110108, 24110165), (24110278, 24110288), (24110319, 24110340)]
CHCHD2	all	56174268.0	-	chr7	[(56174144, 56174155), (56174161, 56174203), (56174269, 56174270)]
CHCHD3	all	132766827.0	-	chr7	[(132766708, 132766739), (132766803, 132766817), (132766818, 132766873)]
CHCHD4	all	14166357.0	-	chr3	[(14166209, 14166283), (14166285, 14166304), (14166316, 14166383)]
CHCHD5	all	113342017.0	+	chr2	[(113341934, 113341962), (113342011, 113342070), (113342151, 113342162), (113342163, 113342210)]
CHCHD6	all	126423062.0	+	chr3	[(126423045, 126423123)]
CHCHD7	all	57124313.0	+	chr8	[(57124339, 57124355), (57124397, 57124413), (57124484, 57124496)]
CHD1	all	98262239.0	-	chr5	[(98262128, 98262139), (98262159, 98262173), (98262198, 98262239)]
CHD1L	all	146714333.0	+	chr1	[(146714321, 146714420)]
CHD2	all	93443057.0	+	chr15	[]
CHD3	all	7792138.0	+	chr17	[(7792070, 7792073), (7792074, 7792085), (7792101, 7792119), (7792130, 7792139)]
CHD4	all	6716550.0	-	chr12	[(6716329, 6716356), (6716388, 6716405), (6716537, 6716557), (6716569, 6716581)]
CHD5	all	6240182.0	-	chr1	[(6240036, 6240050), (6240065, 6240088), (6240094, 6240110), (6240115, 6240116), (6240191, 6240219), (6240314, 6240315), (6240325, 6240416)]
CHD6	all	40247132.0	-	chr20	[(40247002, 40247075), (40247157, 40247166), (40247180, 40247194), (40247214, 40247230), (40247231, 40247244)]
CHD7	all	61591336.0	+	chr8	[(61591273, 61591276), (61591290, 61591312), (61591344, 61591393), (61591403, 61591452), (61591499, 61591509)]
CHD8	ENST00000399982.2	21899866.0	-	chr14	[]
CHD8	ENST00000430710.3	21905401.0	-	chr14	[(21905346, 21905364), (21905373, 21905387), (21905395, 21905419), (21905425, 21905448), (21905496, 21905505)]
CHD8	ENST00000557364.1	21924238.0	-	chr14	[(21924160, 21924163), (21924195, 21924208), (21924209, 21924297), (21924301, 21924304)]
CHD9	ENST00000564845.1	53164832.0	+	chr16	[(53164685, 53164700), (53164906, 53164953), (53164956, 53164988)]
CHD9	ENST00000566029.1,ENST00000447540.1	53088944.0	+	chr16	[(53088809, 53088819), (53088879, 53088884), (53088885, 53088961)]
CHDH	all	53880416.0	-	chr3	[(53880285, 53880292), (53880305, 53880314), (53880345, 53880378), (53880401, 53880474), (53880477, 53880491)]
CHEK1	ENST00000438015.1	125495035.0	+	chr11	[]
CHEK1	ENST00000534070.1	125496235.0	+	chr11	[(125496185, 125496194), (125496218, 125496344), (125496347, 125496359), (125496378, 125496396), (125496400, 125496464)]
CHEK2	ENST00000328354.6,ENST00000405598.1,ENST00000382580.2	29137814.3333	-	chr22	[(29137782, 29137837)]
CHEK2	ENST00000404276.1	29130708.0	-	chr22	[(29130742, 29130744), (29130801, 29130808)]
CHERP	all	16653340.0	-	chr19	[(16653226, 16653275), (16653325, 16653358)]
CHFR	all	133464188.0	-	chr12	[(133464124, 133464140), (133464151, 133464221), (133464336, 133464346)]
CHGA	all	93389424.0	+	chr14	[(93389287, 93389311), (93389488, 93389501)]
CHGB	all	5892075.0	+	chr20	[(5892037, 5892067), (5892121, 5892131), (5892147, 5892163)]
CHI3L1	all	203155876.0	-	chr1	[(203155823, 203155838), (203155868, 203155882)]
CHI3L2	ENST00000369748.4	111770280.0	+	chr1	[(111770265, 111770275), (111770278, 111770289), (111770294, 111770305), (111770322, 111770342)]
CHI3L2	ENST00000445067.2	111743392.0	+	chr1	[]
CHIA	ENST00000343320.6	111852995.0	+	chr1	[]
CHIA	ENST00000369740.1	111833537.0	+	chr1	[]
CHIC1	all	72783043.0	+	chrX	[(72782978, 72782989), (72783007, 72783015), (72783026, 72783049), (72783080, 72783088), (72783111, 72783137), (72783215, 72783247)]
CHIC2	all	54930856.0	-	chr4	[(54930662, 54930701), (54930725, 54930736), (54930753, 54930786), (54930790, 54930838), (54930876, 54930887), (54930947, 54930989)]
CHID1	ENST00000323578.8	911460.0	-	chr11	[]
CHID1	ENST00000436108.2	910830.0	-	chr11	[(910796, 910847)]
CHID1	ENST00000449825.1	915057.0	-	chr11	[(914812, 914866), (914879, 914885), (914889, 914901), (914907, 914917), (914921, 914927), (915012, 915016), (915088, 915097), (915103, 915112), (915118, 915122), (915127, 915132)]
CHIT1	all	203198798.0	-	chr1	[(203198790, 203198807), (203198932, 203198952)]
CHKA	ENST00000265689.4	67888670.0	-	chr11	[(67888611, 67888613), (67888730, 67888774), (67888809, 67888832), (67888836, 67888869)]
CHKA	ENST00000356135.5	67888910.0	-	chr11	[(67888730, 67888774), (67888809, 67888832), (67888836, 67888869), (67888881, 67888893)]
CHKA	all	67888790.0	-	chr11	[(67888611, 67888613), (67888730, 67888774), (67888809, 67888832), (67888836, 67888869), (67888881, 67888893)]
CHKB	all	51021427.0	-	chr22	[(51021212, 51021294), (51021313, 51021333), (51021368, 51021394), (51021397, 51021434)]
CHL1	all	238278.0	+	chr3	[(238190, 238203), (238273, 238302), (238332, 238343), (238427, 238455), (238456, 238502)]
CHM	all	85302565.0	-	chrX	[(85302531, 85302570)]
CHML	all	241799231.0	-	chr1	[(241799159, 241799160), (241799277, 241799285)]
CHMP1A	all	89724252.0	-	chr16	[(89724051, 89724062), (89724064, 89724138)]
CHMP1B	all	11851394.0	+	chr18	[(11851195, 11851238), (11851383, 11851399), (11851403, 11851428), (11851433, 11851452), (11851475, 11851478)]
CHMP2A	ENST00000600118.1	59066004.0	-	chr19	[(59065919, 59065934)]
CHMP2A	ENST00000601220.1,ENST00000312547.2	59066414.5	-	chr19	[(59066327, 59066389), (59066398, 59066410), (59066452, 59066496)]
CHMP2B	all	87276434.0	+	chr3	[(87276407, 87276493), (87276496, 87276507)]
CHMP3	all	86790599.0	-	chr2	[(86790420, 86790427), (86790451, 86790458), (86790472, 86790504), (86790505, 86790579), (86790580, 86790591), (86790593, 86790614)]
CHMP4A	all	24682693.0	-	chr14	[(24682652, 24682705), (24682707, 24682725)]
CHMP4B	all	32399109.0	+	chr20	[(32399037, 32399048), (32399093, 32399169), (32399211, 32399222), (32399231, 32399254), (32399307, 32399335)]
CHMP4C	all	82644668.0	+	chr8	[(82644669, 82644738), (82644741, 82644791)]
CHMP5	all	33264939.0	+	chr9	[(33264789, 33264815), (33264846, 33264860), (33264861, 33264880), (33264882, 33264889), (33264899, 33264918), (33265011, 33265059)]
CHMP6	all	78965640.0	+	chr17	[(78965421, 78965447), (78965462, 78965493), (78965624, 78965694), (78965697, 78965722)]
CHMP7	ENST00000313219.7	23104156.0	+	chr8	[(23104119, 23104128), (23104130, 23104184)]
CHMP7	ENST00000397677.1	23101149.0	+	chr8	[]
CHN1	all	175869953.0	-	chr2	[(175869890, 175869933), (175869936, 175869949), (175869961, 175869969), (175869984, 175869996), (175870085, 175870133)]
CHN2	ENST00000222792.6	29234027.0	+	chr7	[(29233818, 29233840), (29233853, 29233864), (29233961, 29233972), (29234032, 29234043), (29234079, 29234086), (29234101, 29234130), (29234132, 29234142), (29234147, 29234156)]
CHN2	ENST00000495789.2	29234540.0	+	chr7	[(29234346, 29234349), (29234356, 29234357), (29234375, 29234464)]
CHN2	ENST00000539406.1	29186199.0	+	chr7	[(29186049, 29186080), (29186124, 29186129), (29186142, 29186153), (29186159, 29186167), (29186174, 29186188), (29186192, 29186222), (29186234, 29186261), (29186263, 29186278)]
CHN2	ENST00000546235.1	29237356.0	+	chr7	[(29237354, 29237369), (29237372, 29237375), (29237382, 29237388)]
CHORDC1	all	89956531.0	-	chr11	[(89956390, 89956408), (89956461, 89956473), (89956482, 89956489), (89956508, 89956514), (89956718, 89956722)]
CHP1	all	41523340.0	+	chr15	[(41523335, 41523350), (41523417, 41523529), (41523530, 41523545)]
CHP2	all	23765947.0	+	chr16	[(23765964, 23765976), (23766089, 23766092), (23766113, 23766127)]
CHPF	all	220408508.0	-	chr2	[(220408260, 220408340), (220408430, 220408555), (220408563, 220408576), (220408592, 220408621), (220408633, 220408635), (220408652, 220408661)]
CHPF2	all	150929584.0	+	chr7	[(150929538, 150929547), (150929550, 150929619)]
CHPT1	all	102091404.0	+	chr12	[(102091215, 102091224), (102091229, 102091269), (102091273, 102091317), (102091400, 102091487), (102091490, 102091493), (102091519, 102091531), (102091558, 102091569), (102091592, 102091595)]
CHRAC1	all	141521396.0	+	chr8	[(141521233, 141521247), (141521379, 141521382), (141521386, 141521469), (141521474, 141521485), (141521493, 141521532), (141521540, 141521557), (141521568, 141521589)]
CHRD	all	184097994.0	+	chr3	[(184097836, 184097851), (184097905, 184097936), (184098065, 184098119), (184098121, 184098155), (184098193, 184098194)]
CHRDL2	all	74442219.0	-	chr11	[]
CHRFAM7A	all	30685751.0	-	chr15	[]
CHRM1	all	62689152.0	-	chr11	[(62689025, 62689032), (62689046, 62689100), (62689110, 62689118), (62689132, 62689135), (62689148, 62689156), (62689234, 62689243), (62689347, 62689355)]
CHRM2	ENST00000320658.5,ENST00000453373.1,ENST00000397608.3,ENST00000402486.3,ENST00000401861.1	136553838.4	+	chr7	[(136553798, 136553803), (136553824, 136553846), (136553851, 136553861), (136553863, 136553875), (136553881, 136553901), (136553942, 136553953), (136553987, 136554036)]
CHRM2	ENST00000445907.2	136553415.0	+	chr7	[(136553339, 136553348), (136553370, 136553421), (136553426, 136553441), (136553464, 136553471), (136553519, 136553541), (136553573, 136553582)]
CHRM3	all	239792372.0	+	chr1	[]
CHRM4	all	46408106.0	-	chr11	[(46408128, 46408138)]
CHRM5	ENST00000383263.5	34261088.0	+	chr15	[(34261001, 34261002), (34261076, 34261097)]
CHRM5	ENST00000557872.1	34310427.0	+	chr15	[]
CHRNA1	all	175629199.0	-	chr2	[(175629135, 175629148), (175629150, 175629163), (175629164, 175629224)]
CHRNA10	all	3692613.0	-	chr11	[]
CHRNA2	ENST00000407991.1	27336812.0	-	chr8	[(27336616, 27336617), (27336640, 27336649), (27336665, 27336673), (27336675, 27336693), (27336711, 27336720), (27336724, 27336740), (27336747, 27336786), (27336812, 27336826)]
CHRNA2	ENST00000520933.2	27328728.0	-	chr8	[]
CHRNA3	all	78913520.0	-	chr15	[(78913306, 78913349), (78913353, 78913365), (78913485, 78913517), (78913522, 78913543), (78913614, 78913619), (78913628, 78913657), (78913665, 78913673)]
CHRNA4	all	61992738.0	-	chr20	[(61992539, 61992557), (61992622, 61992625), (61992643, 61992683), (61992689, 61992710), (61992711, 61992734), (61992738, 61992760)]
CHRNA5	all	78857861.0	+	chr15	[(78857836, 78857847), (78857849, 78857869), (78857870, 78857897)]
CHRNA6	all	42623928.0	-	chr8	[(42623747, 42623755), (42623766, 42623780), (42623782, 42623792), (42623839, 42623845), (42623846, 42623865), (42623910, 42623918), (42623924, 42623935)]
CHRNA7	all	32322695.0	+	chr15	[(32322685, 32322701), (32322709, 32322725), (32322878, 32322887)]
CHRNA9	all	40337345.0	+	chr4	[(40337318, 40337324), (40337340, 40337361)]
CHRNB1	all	7348379.0	+	chr17	[(7348361, 7348367), (7348374, 7348435)]
CHRNB2	all	154540256.0	+	chr1	[(154540246, 154540260), (154540261, 154540288), (154540296, 154540327)]
CHRNB3	all	42552561.0	+	chr8	[(42552483, 42552502), (42552503, 42552524), (42552533, 42552542), (42552547, 42552557)]
CHRNB4	all	78933586.0	-	chr15	[(78933442, 78933476), (78933521, 78933526), (78933542, 78933562), (78933567, 78933604), (78933607, 78933610)]
CHRND	all	233390893.0	+	chr2	[(233390712, 233390747), (233390863, 233390878), (233390890, 233390903), (233390904, 233390920), (233391018, 233391036)]
CHRNE	all	4806368.0	-	chr17	[(4806374, 4806394)]
