gene	transcripts	chromosome	position	strand	annotation source
Efcab5	ENSMUST00000108400.1	chr11	77188967	-	GENCODE
Efcab6	ENSMUST00000156187.1	chr15	84065348	-	GENCODE
Efcab7	ENSMUST00000097959.4	chr4	99831393	+	GENCODE
Efcab8	ENSMUST00000144827.1	chr2	153780878	+	GENCODE
Efcab9	ENSMUST00000054327.2	chr11	32527578	-	GENCODE
Efcc1	ENSMUST00000159570.2,ENSMUST00000032132.8	chr6	87730880	+	GENCODE
Efemp1	ENSMUST00000020759.5	chr11	28853203	+	GENCODE
Efemp2	ENSMUST00000165485.1	chr19	5474687	+	GENCODE
Efhb	ENSMUST00000024725.4	chr17	53463320	-	GENCODE
Efhc1	ENSMUST00000038447.4	chr1	20951687	+	GENCODE
Efhc2	ENSMUST00000026014.7	chrX	17319367	-	GENCODE
Efhd1	ENSMUST00000118687.1,ENSMUST00000027472.6	chr1	87264362	+	GENCODE
Efhd2	ENSMUST00000036854.3	chr4	141874919	-	GENCODE
Efna1	ENSMUST00000029566.2	chr3	89279644	-	GENCODE
Efna2	ENSMUST00000003154.6	chr10	80179481	+	GENCODE
Efna3	ENSMUST00000029673.5	chr3	89322964	-	GENCODE
Efna4	ENSMUST00000029674.7	chr3	89338027	-	GENCODE
Efna5	ENSMUST00000163332.1	chr17	62606706	-	GENCODE
Efnb1	ENSMUST00000052839.6	chrX	99136129	+	GENCODE
Efnb2	ENSMUST00000001319.7	chr8	8660772	-	GENCODE
Efnb3	ENSMUST00000004036.5	chr11	69560204	-	GENCODE
Efr3a	ENSMUST00000015146.9	chr15	65787039	+	GENCODE
Efr3b	ENSMUST00000111178.1	chr12	4038914	-	GENCODE
Efs	ENSMUST00000022813.6	chr14	54926787	-	GENCODE
Eftud1	ENSMUST00000179489.1,ENSMUST00000039881.3	chr7	82648626	+	GENCODE
Eftud2	ENSMUST00000021306.7,ENSMUST00000107060.1	chr11	102880975	-	GENCODE
Egf	ENSMUST00000029653.2	chr3	129755321	-	GENCODE
Egfem1	ENSMUST00000118531.1	chr3	29082770	+	GENCODE
Egfl6	ENSMUST00000000412.2	chrX	166585719	-	GENCODE
Egfl7	ENSMUST00000102907.5	chr2	26583879	+	GENCODE
Egfl7	ENSMUST00000150404.2	chr2	26588542	+	GENCODE
Egfl7	ENSMUST00000166920.2	chr2	26581055	+	GENCODE
Egfl7	ENSMUST00000174211.1	chr2	26586629	+	GENCODE
Egfl8	ENSMUST00000015611.7	chr17	34615970	-	GENCODE
Egflam	ENSMUST00000058593.3	chr15	7398303	-	GENCODE
Egfr	ENSMUST00000020329.6	chr11	16752210	+	GENCODE
Egln1	ENSMUST00000034469.5	chr8	124949253	-	GENCODE
Egln2	ENSMUST00000080058.4	chr7	27166801	-	GENCODE
Egln2	ENSMUST00000108382.1	chr7	27166412	-	GENCODE
Egln3	ENSMUST00000039516.3	chr12	54203859	-	GENCODE
Egr1	ENSMUST00000064795.5	chr18	34859822	+	GENCODE
Egr1	ENSMUST00000165033.1	chr18	34861206	+	GENCODE
Egr2	ENSMUST00000048289.7	chr10	67537868	+	GENCODE
Egr3	ENSMUST00000035908.1	chr14	70077444	+	GENCODE
Egr4	ENSMUST00000095759.3	chr6	85513588	-	GENCODE
Ehbp1	ENSMUST00000109563.2	chr11	22286794	-	GENCODE
Ehbp1l1	ENSMUST00000049295.8,ENSMUST00000075606.4	chr19	5726316	-	GENCODE
Ehd1	ENSMUST00000025684.3	chr19	6276724	+	GENCODE
Ehd2	ENSMUST00000098799.3	chr7	15967566	-	GENCODE
Ehd3	ENSMUST00000024860.7	chr17	73804840	+	GENCODE
Ehd4	ENSMUST00000028755.7	chr2	120154605	-	GENCODE
Ehf	ENSMUST00000090475.3	chr2	103303277	-	GENCODE
Ehf	ENSMUST00000111174.1	chr2	103283759	-	GENCODE
Ehhadh	ENSMUST00000023559.5	chr16	21787843	-	GENCODE
Ehmt1	ENSMUST00000102938.3,ENSMUST00000114432.2,ENSMUST00000091348.4	chr2	24919595	-	GENCODE
Ehmt2	ENSMUST00000013931.5	chr17	34898970	+	GENCODE
Ehmt2	ENSMUST00000078061.6	chr17	34898498	+	GENCODE
Ei24	ENSMUST00000163192.3,ENSMUST00000115086.5	chr9	36797313	-	GENCODE
Eid1	ENSMUST00000164756.2	chr2	125673099	+	GENCODE
Eid2	ENSMUST00000059596.6	chr7	28267880	+	GENCODE
Eid2b	ENSMUST00000094651.2	chr7	28277705	+	GENCODE
Eif1	ENSMUST00000049385.7	chr11	100319884	+	GENCODE
Eif1a	ENSMUST00000078079.3,ENSMUST00000168382.1	chr18	46597705	+	GENCODE
Eif1ad	ENSMUST00000025759.7	chr19	5366812	+	GENCODE
Eif1ax	ENSMUST00000087143.6	chrX	159372177	+	GENCODE
Eif1b	ENSMUST00000007139.4	chr9	120492605	+	GENCODE
Eif2a	ENSMUST00000029387.8	chr3	58525820	+	GENCODE
Eif2ak1	ENSMUST00000100487.4	chr5	143817787	+	GENCODE
Eif2ak2	ENSMUST00000024884.4	chr17	78882572	-	GENCODE
Eif2ak3	ENSMUST00000034093.8	chr6	70844514	+	GENCODE
Eif2ak4	ENSMUST00000005233.5	chr2	118388617	+	GENCODE
Eif2b1	ENSMUST00000031334.8	chr5	124579130	-	GENCODE
Eif2b2	ENSMUST00000004910.5	chr12	85219480	+	GENCODE
Eif2b3	ENSMUST00000106448.2	chr4	117019401	+	GENCODE
Eif2b4	ENSMUST00000077693.3	chr5	31193429	-	GENCODE
Eif2b5	ENSMUST00000003320.6	chr16	20498816	+	GENCODE
Eif2d	ENSMUST00000112446.2,ENSMUST00000068805.7	chr1	131153180	+	GENCODE
Eif2s1	ENSMUST00000071230.7	chr12	78861818	+	GENCODE
Eif2s2	ENSMUST00000099173.4,ENSMUST00000166171.1	chr2	154892857	-	GENCODE
Eif2s3x	ENSMUST00000050328.8	chrX	94212708	-	GENCODE
Eif2s3y	ENSMUST00000091197.3	chrY	1010542	+	GENCODE
Eif3a	ENSMUST00000025955.6	chr19	60790692	-	GENCODE
Eif3b	ENSMUST00000100507.3	chr5	140419304	+	GENCODE
Eif3c	ENSMUST00000032992.5	chr7	126566410	-	GENCODE
Eif3d	ENSMUST00000100484.4	chr15	77970823	-	GENCODE
Eif3e	ENSMUST00000022960.2	chr15	43282735	-	GENCODE
Eif3f	ENSMUST00000033342.6	chr7	108934416	+	GENCODE
Eif3g	ENSMUST00000004206.8	chr9	20898599	-	GENCODE
Eif3h	ENSMUST00000022925.8	chr15	51865480	-	GENCODE
Eif3i	ENSMUST00000102593.4	chr4	129600647	-	GENCODE
Eif3j1	ENSMUST00000028668.7	chr2	122028545	+	GENCODE
Eif3j2	ENSMUST00000057110.9	chr18	43477835	-	GENCODE
Eif3k	ENSMUST00000066070.5	chr7	28981813	-	GENCODE
Eif3l	ENSMUST00000040518.4	chr15	79075222	+	GENCODE
Eif3m	ENSMUST00000028592.5	chr2	105017079	-	GENCODE
Eif4a1	ENSMUST00000163666.2	chr11	69672316	-	GENCODE
Eif4a2	ENSMUST00000023599.6	chr16	23107443	+	GENCODE
Eif4a3	ENSMUST00000026667.8	chr11	119300088	-	GENCODE
Eif4b	ENSMUST00000169681.1	chr15	102073772	+	GENCODE
Eif4e	ENSMUST00000029803.7	chr3	138526190	+	GENCODE
Eif4e1b	ENSMUST00000132728.1,ENSMUST00000110003.2	chr13	54784007	+	GENCODE
Eif4e2	ENSMUST00000113233.1,ENSMUST00000076362.5	chr1	87213913	+	GENCODE
Eif4e3	ENSMUST00000032151.2	chr6	99666770	-	GENCODE
Eif4ebp1	ENSMUST00000033880.5	chr8	27260326	+	GENCODE
Eif4ebp2	ENSMUST00000020288.7,ENSMUST00000167087.1	chr10	61452662	-	GENCODE
Eif4ebp3	ENSMUST00000036765.7	chr18	36664059	+	GENCODE
Eif4enif1	ENSMUST00000110049.1	chr11	3202662	+	GENCODE
Eif4enif1	ENSMUST00000120721.2	chr11	3203629	+	GENCODE
Eif4enif1	ENSMUST00000179770.1	chr11	3202994	+	GENCODE
Eif4g1	ENSMUST00000044783.7,ENSMUST00000073840.5	chr16	20672735	+	GENCODE
Eif4g1	ENSMUST00000115461.1,ENSMUST00000115460.1	chr16	20673467	+	GENCODE
Eif4g2	ENSMUST00000159305.1	chr7	111082194	-	GENCODE
Eif4g2	ENSMUST00000160132.1	chr7	111083018	-	GENCODE
Eif4g2	ENSMUST00000160966.1	chr7	111081852	-	GENCODE
Eif4g3	ENSMUST00000084215.5	chr4	137993021	+	GENCODE
Eif4h	ENSMUST00000036125.8	chr5	134639347	-	GENCODE
Eif5	ENSMUST00000050993.9	chr12	111538852	+	GENCODE
Eif5	ENSMUST00000166123.1	chr12	111538100	+	GENCODE
Eif5a	ENSMUST00000071026.3	chr11	69921957	-	GENCODE
Eif5a	ENSMUST00000108610.1	chr11	69920629	-	GENCODE
Eif5a	ENSMUST00000108612.1,ENSMUST00000108611.1	chr11	69920939	-	GENCODE
Eif5a	ENSMUST00000108613.3,ENSMUST00000043419.3,ENSMUST00000070996.4	chr11	69921385	-	GENCODE
Eif5a	ENSMUST00000164359.1,ENSMUST00000108609.1,ENSMUST00000108608.1,ENSMUST00000108607.1	chr11	69921099	-	GENCODE
Eif5a2	ENSMUST00000060500.7	chr3	28781310	+	GENCODE
Eif5b	ENSMUST00000027252.7	chr1	37998009	+	GENCODE
Eif6	ENSMUST00000029142.8	chr2	155826924	-	GENCODE
Elac1	ENSMUST00000041138.2	chr18	73754478	-	GENCODE
Elac2	ENSMUST00000108697.1,ENSMUST00000101049.2	chr11	64979071	+	GENCODE
Elane	ENSMUST00000046091.5	chr10	79886311	+	GENCODE
Elavl1	ENSMUST00000098950.4	chr8	4325099	-	GENCODE
Elavl2	ENSMUST00000107110.1	chr4	91372033	-	GENCODE
Elavl2	ENSMUST00000107111.2	chr4	91376433	-	GENCODE
Elavl3	ENSMUST00000003501.7	chr9	22052022	-	GENCODE
Elavl4	ENSMUST00000102722.2	chr4	110286888	-	GENCODE
Elavl4	ENSMUST00000106598.1	chr4	110287526	-	GENCODE
Elavl4	ENSMUST00000106601.1	chr4	110292721	-	GENCODE
Elf1	ENSMUST00000040131.5	chr14	79481193	+	GENCODE
Elf1	ENSMUST00000110835.1	chr14	79515673	+	GENCODE
Elf2	ENSMUST00000062009.7	chr3	51340643	-	GENCODE
Elf3	ENSMUST00000003135.7	chr1	135258471	-	GENCODE
Elf4	ENSMUST00000033429.2	chrX	48463131	-	GENCODE
Elf4	ENSMUST00000114958.1	chrX	48454168	-	GENCODE
Elf5	ENSMUST00000028609.7	chr2	103424061	+	GENCODE
Elf5	ENSMUST00000164172.1	chr2	103411687	+	GENCODE
Elf5	ENSMUST00000171693.1	chr2	103424125	+	GENCODE
Elfn1	ENSMUST00000050519.6	chr5	139907942	+	GENCODE
Elfn2	ENSMUST00000088592.4	chr15	78718112	-	GENCODE
Elk1	ENSMUST00000009550.7	chrX	20950607	-	GENCODE
Elk3	ENSMUST00000008542.5	chr10	93311134	-	GENCODE
Elk4	ENSMUST00000027696.3	chr1	132007875	+	GENCODE
Elk4	ENSMUST00000086556.5	chr1	132007606	+	GENCODE
Ell	ENSMUST00000093454.6	chr8	70539674	+	GENCODE
Ell2	ENSMUST00000001583.6	chr13	75707483	+	GENCODE
Ell3	ENSMUST00000028679.4	chr2	121444277	-	GENCODE
Ell3	ENSMUST00000116432.1	chr2	121442600	-	GENCODE
Elmo1	ENSMUST00000072519.5	chr13	20090618	+	GENCODE
Elmo2	ENSMUST00000094329.4	chr2	165326478	-	GENCODE
Elmo2	ENSMUST00000103091.2	chr2	165320825	-	GENCODE
Elmo3	ENSMUST00000109375.2	chr8	105305600	+	GENCODE
Elmod1	ENSMUST00000048409.7	chr9	53975300	-	GENCODE
Elmod1	ENSMUST00000166580.1	chr9	53936833	-	GENCODE
Elmod2	ENSMUST00000177594.1,ENSMUST00000053902.3	chr8	83332485	-	GENCODE
Elmod3	ENSMUST00000114069.1,ENSMUST00000070990.1	chr6	72598341	-	GENCODE
Elmsan1	ENSMUST00000046266.6	chr12	84218880	-	GENCODE
Elmsan1	ENSMUST00000110294.1	chr12	84194014	-	GENCODE
Eln	ENSMUST00000015138.9	chr5	134747240	-	GENCODE
Elof1	ENSMUST00000013966.6	chr9	22117147	-	GENCODE
Elof1	ENSMUST00000166335.1	chr9	22114168	-	GENCODE
Elovl1	ENSMUST00000006557.6,ENSMUST00000167636.1	chr4	118428105	+	GENCODE
Elovl1	ENSMUST00000067896.3	chr4	118429700	+	GENCODE
Elovl2	ENSMUST00000021793.7	chr13	41220404	-	GENCODE
Elovl3	ENSMUST00000043739.3	chr19	46131896	+	GENCODE
Elovl4	ENSMUST00000034796.7	chr9	83806251	-	GENCODE
Elovl5	ENSMUST00000034904.7	chr9	77917363	+	GENCODE
Elovl6	ENSMUST00000071402.2	chr3	129532385	+	GENCODE
Elovl7	ENSMUST00000022207.8	chr13	108214403	+	GENCODE
Elp2	ENSMUST00000025120.6	chr18	24603960	+	GENCODE
Elp3	ENSMUST00000022609.5	chr14	65593111	-	GENCODE
Elp4	ENSMUST00000122965.1	chr2	105904563	-	GENCODE
Elp5	ENSMUST00000108594.1	chr11	69981251	-	GENCODE
Elp5	ENSMUST00000143175.1	chr11	69980695	-	GENCODE
Elp6	ENSMUST00000068071.7	chr9	110305191	+	GENCODE
Eltd1	ENSMUST00000046977.7	chr3	151437886	+	GENCODE
Emb	ENSMUST00000022242.7	chr13	117220624	+	GENCODE
Emc1	ENSMUST00000042096.7,ENSMUST00000082262.7	chr4	139352589	+	GENCODE
Emc10	ENSMUST00000118808.1	chr7	44496528	-	GENCODE
Emc2	ENSMUST00000022962.6	chr15	43477228	+	GENCODE
Emc3	ENSMUST00000032425.5	chr6	113531637	-	GENCODE
Emc4	ENSMUST00000028551.3	chr2	112368026	-	GENCODE
Emc6	ENSMUST00000054952.3,ENSMUST00000108480.1	chr11	73177018	-	GENCODE
Emc7	ENSMUST00000069747.5	chr2	112454996	+	GENCODE
Emc8	ENSMUST00000034277.7	chr8	120668120	-	GENCODE
Emc9	ENSMUST00000022828.8	chr14	55585301	-	GENCODE
Emcn	ENSMUST00000122064.1	chr3	137341066	+	GENCODE
Emd	ENSMUST00000002029.6	chrX	74254686	+	GENCODE
Eme1	ENSMUST00000039949.4	chr11	94653963	-	GENCODE
Eme2	ENSMUST00000121542.1	chr17	24895086	-	GENCODE
Emg1	ENSMUST00000004379.5	chr6	124712177	-	GENCODE
Emid1	ENSMUST00000062821.6,ENSMUST00000163299.1	chr11	5152247	-	GENCODE
Emilin1	ENSMUST00000031055.5	chr5	30913401	+	GENCODE
Emilin2	ENSMUST00000024849.9	chr17	71310964	-	GENCODE
Emilin3	ENSMUST00000057169.4	chr2	160912327	-	GENCODE
Eml1	ENSMUST00000109860.1	chr12	108422815	+	GENCODE
Eml2	ENSMUST00000120595.1	chr7	19181158	+	GENCODE
Eml3	ENSMUST00000096241.4	chr19	8929693	+	GENCODE
Eml4	ENSMUST00000112363.2	chr17	83350930	+	GENCODE
Eml5	ENSMUST00000065716.6	chr12	98901483	-	GENCODE
Eml6	ENSMUST00000058902.5	chr11	30026032	-	GENCODE
Emp1	ENSMUST00000032330.9	chr6	135362930	+	GENCODE
Emp1	ENSMUST00000111907.1	chr6	135367492	+	GENCODE
Emp2	ENSMUST00000078357.4	chr16	10313967	-	GENCODE
Emp3	ENSMUST00000038876.5	chr7	45921425	-	GENCODE
Emp3	ENSMUST00000164119.1	chr7	45920848	-	GENCODE
Emr1	ENSMUST00000086763.5,ENSMUST00000004850.7	chr17	57358699	+	GENCODE
Emr4	ENSMUST00000025004.6	chr17	55749983	+	GENCODE
Emx1	ENSMUST00000045942.8	chr6	85187437	+	GENCODE
Emx2	ENSMUST00000062216.3	chr19	59458371	+	GENCODE
En1	ENSMUST00000079721.7	chr1	120602417	+	GENCODE
En2	ENSMUST00000036177.7	chr5	28165695	+	GENCODE
Enah	ENSMUST00000078719.6,ENSMUST00000111030.3,ENSMUST00000177811.1,ENSMUST00000111024.3,ENSMUST00000111025.2	chr1	182019979	-	GENCODE
Enam	ENSMUST00000031222.8	chr5	88487981	+	GENCODE
Enc1	ENSMUST00000041623.7	chr13	97241104	+	GENCODE
Endod1	ENSMUST00000167549.1	chr9	14381241	-	GENCODE
Endog	ENSMUST00000015481.5	chr2	30171492	+	GENCODE
Endou	ENSMUST00000100249.2	chr15	97731404	-	GENCODE
Endov	ENSMUST00000106244.2,ENSMUST00000129327.2	chr11	119491367	+	GENCODE
Endov	ENSMUST00000106245.2	chr11	119491629	+	GENCODE
Eng	ENSMUST00000009705.7	chr2	32646594	+	GENCODE
Eng	ENSMUST00000113272.1	chr2	32646957	+	GENCODE
Engase	ENSMUST00000135383.2	chr11	118476828	+	GENCODE
Enho	ENSMUST00000127306.1	chr4	41640323	-	GENCODE
Enkd1	ENSMUST00000013299.9	chr8	105707932	-	GENCODE
Enkur	ENSMUST00000027992.2	chr2	21205364	-	GENCODE
Eno1	ENSMUST00000080926.6	chr4	150236951	+	GENCODE
Eno2	ENSMUST00000004378.8	chr6	124769672	-	GENCODE
Eno3	ENSMUST00000072841.5,ENSMUST00000108548.1	chr11	70657202	+	GENCODE
Eno3	ENSMUST00000170716.1	chr11	70657795	+	GENCODE
Eno4	ENSMUST00000054280.6	chr19	58943424	+	GENCODE
Enoph1	ENSMUST00000169390.1,ENSMUST00000031268.6	chr5	100039993	+	GENCODE
Enox1	ENSMUST00000022589.7	chr14	77156762	+	GENCODE
Enox2	ENSMUST00000114914.1,ENSMUST00000114918.2,ENSMUST00000033437.8	chrX	49288231	-	GENCODE
Enox2	ENSMUST00000167659.1	chrX	49080751	-	GENCODE
Enpep	ENSMUST00000029658.7	chr3	129332719	-	GENCODE
Enpp1	ENSMUST00000105520.1,ENSMUST00000135846.1	chr10	24712073	-	GENCODE
Enpp2	ENSMUST00000041591.9	chr15	54920001	-	GENCODE
Enpp3	ENSMUST00000020169.7	chr10	24836194	-	GENCODE
Enpp4	ENSMUST00000024757.7,ENSMUST00000143137.1	chr17	44105785	-	GENCODE
Enpp5	ENSMUST00000154166.1,ENSMUST00000024756.4	chr17	44078828	+	GENCODE
Enpp6	ENSMUST00000039840.7	chr8	46986926	+	GENCODE
Enpp7	ENSMUST00000092373.6,ENSMUST00000106273.1	chr11	118988201	+	GENCODE
Ensa	ENSMUST00000037983.4	chr3	95624979	+	GENCODE
Enthd1	ENSMUST00000096347.3	chr15	80560469	-	GENCODE
Enthd2	ENSMUST00000093901.5,ENSMUST00000106225.3	chr11	120098730	-	GENCODE
Entpd1	ENSMUST00000112231.2	chr19	40659769	+	GENCODE
Entpd2	ENSMUST00000028328.2	chr2	25395873	+	GENCODE
Entpd3	ENSMUST00000047687.7	chr9	120539817	+	GENCODE
Entpd4	ENSMUST00000064831.5	chr14	69347586	+	GENCODE
Entpd4	ENSMUST00000184973.1	chr14	69337173	+	GENCODE
Entpd5	ENSMUST00000021662.5	chr12	84405475	-	GENCODE
Entpd5	ENSMUST00000110272.2,ENSMUST00000120942.1	chr12	84409020	-	GENCODE
Entpd5	ENSMUST00000122194.1,ENSMUST00000117286.1	chr12	84400908	-	GENCODE
Entpd6	ENSMUST00000094467.5	chr2	150749041	+	GENCODE
Entpd7	ENSMUST00000081079.5	chr19	43689671	+	GENCODE
Entpd8	ENSMUST00000044078.3,ENSMUST00000114380.2	chr2	25080322	+	GENCODE
Eny2	ENSMUST00000060652.3	chr15	44428110	+	GENCODE
Eogt	ENSMUST00000054344.4	chr6	97149181	-	GENCODE
Eomes	ENSMUST00000111763.1	chr9	118478211	+	GENCODE
Ep300	ENSMUST00000068387.4	chr15	81586213	+	GENCODE
Ep400	ENSMUST00000041558.8,ENSMUST00000112436.2	chr5	110770621	-	GENCODE
Epas1	ENSMUST00000024954.9	chr17	86753906	+	GENCODE
Epb4.1	ENSMUST00000030739.4	chr4	132072096	-	GENCODE
Epb4.1	ENSMUST00000105972.1	chr4	132007430	-	GENCODE
Epb4.1	ENSMUST00000105981.2	chr4	132049077	-	GENCODE
Epb4.1l1	ENSMUST00000029155.8,ENSMUST00000103135.1	chr2	156475859	+	GENCODE
Epb4.1l1	ENSMUST00000103137.3,ENSMUST00000103136.1	chr2	156421004	+	GENCODE
Epb4.1l2	ENSMUST00000053748.8	chr10	25359797	+	GENCODE
Epb4.1l2	ENSMUST00000092645.6	chr10	25408367	+	GENCODE
Epb4.1l3	ENSMUST00000112680.1,ENSMUST00000080208.5	chr17	69156809	+	GENCODE
Epb4.1l4a	ENSMUST00000025234.5	chr18	34007205	-	GENCODE
Epb4.1l4b	ENSMUST00000095076.3,ENSMUST00000030142.3	chr4	57143436	-	GENCODE
Epb4.1l5	ENSMUST00000027632.7	chr1	119648999	-	GENCODE
Epb4.2	ENSMUST00000102490.3	chr2	121037071	-	GENCODE
Epc1	ENSMUST00000028100.6	chr18	6490855	-	GENCODE
Epc2	ENSMUST00000092123.4	chr2	49451485	+	GENCODE
Epcam	ENSMUST00000053577.8	chr17	87635978	+	GENCODE
Epdr1	ENSMUST00000002885.6	chr13	19619829	-	GENCODE
Epg5	ENSMUST00000044622.5	chr18	77938466	+	GENCODE
Epgn	ENSMUST00000041516.8	chr5	91027463	+	GENCODE
Epha1	ENSMUST00000073387.2	chr6	42373267	-	GENCODE
Epha10	ENSMUST00000059343.6	chr4	124880898	+	GENCODE
Epha2	ENSMUST00000006614.2	chr4	141301239	+	GENCODE
Epha3	ENSMUST00000064405.6	chr16	63864157	-	GENCODE
Epha4	ENSMUST00000027451.6	chr1	77515087	-	GENCODE
Epha5	ENSMUST00000113403.1,ENSMUST00000113406.1	chr5	84416805	-	GENCODE
Epha6	ENSMUST00000068860.6	chr16	60605247	-	GENCODE
Epha7	ENSMUST00000029964.5,ENSMUST00000108191.1	chr4	28813189	+	GENCODE
Epha8	ENSMUST00000030420.8	chr4	136956815	-	GENCODE
Ephb1	ENSMUST00000035129.7	chr9	102354692	-	GENCODE
Ephb2	ENSMUST00000105845.2,ENSMUST00000059287.7,ENSMUST00000105846.2	chr4	136835928	-	GENCODE
Ephb3	ENSMUST00000006112.6	chr16	21204754	+	GENCODE
Ephb4	ENSMUST00000061244.8	chr5	137350108	+	GENCODE
Ephb4	ENSMUST00000166239.1	chr5	137350429	+	GENCODE
Ephb6	ENSMUST00000114732.2	chr6	41605481	+	GENCODE
Ephx1	ENSMUST00000036928.5	chr1	181017568	-	GENCODE
Ephx2	ENSMUST00000070515.1	chr14	66124499	-	GENCODE
Ephx3	ENSMUST00000087721.3,ENSMUST00000162117.1	chr17	32189505	-	GENCODE
Ephx4	ENSMUST00000049146.5	chr5	107403495	+	GENCODE
Epm2a	ENSMUST00000069106.4	chr10	11343403	+	GENCODE
Epm2aip1	ENSMUST00000060711.5	chr9	111271844	+	GENCODE
Epn1	ENSMUST00000098845.3,ENSMUST00000045277.6	chr7	5080263	+	GENCODE
Epn2	ENSMUST00000108713.1	chr11	61579684	-	GENCODE
Epn3	ENSMUST00000127305.1	chr11	94499973	-	GENCODE
Epo	ENSMUST00000031723.7,ENSMUST00000111039.2	chr5	137485815	-	GENCODE
Epo	ENSMUST00000111038.1	chr5	137533241	-	GENCODE
Epor	ENSMUST00000006397.5	chr9	21963575	-	GENCODE
Eppin	ENSMUST00000103100.1	chr2	164593593	-	GENCODE
Eprs	ENSMUST00000046514.7	chr1	185363094	+	GENCODE
Eps15	ENSMUST00000102729.3	chr4	109280267	+	GENCODE
Eps15l1	ENSMUST00000163643.1	chr8	72421473	-	GENCODE
Eps8	ENSMUST00000058210.6,ENSMUST00000111878.1	chr6	137649284	-	GENCODE
Eps8	ENSMUST00000100841.2	chr6	137571016	-	GENCODE
Eps8l1	ENSMUST00000086372.1,ENSMUST00000163893.1	chr7	4464794	+	GENCODE
Eps8l2	ENSMUST00000026577.6	chr7	141338879	+	GENCODE
Eps8l3	ENSMUST00000037375.8	chr3	107877229	+	GENCODE
Epsti1	ENSMUST00000022591.8,ENSMUST00000169978.1	chr14	77904322	+	GENCODE
Ept1	ENSMUST00000145167.1	chr5	30232580	+	GENCODE
Epx	ENSMUST00000049768.3	chr11	87875535	-	GENCODE
Epyc	ENSMUST00000020094.1	chr10	97644067	+	GENCODE
Epyc	ENSMUST00000105285.3	chr10	97647088	+	GENCODE
Eqtn	ENSMUST00000107097.2,ENSMUST00000030309.5	chr4	94928817	-	GENCODE
Eral1	ENSMUST00000021183.3	chr11	78080382	-	GENCODE
Erap1	ENSMUST00000169114.1	chr13	74639871	+	GENCODE
Eras	ENSMUST00000033500.4	chrX	7928606	-	GENCODE
Erbb2	ENSMUST00000058295.5	chr11	98412469	+	GENCODE
Erbb2ip	ENSMUST00000053927.5,ENSMUST00000091269.4,ENSMUST00000022222.5	chr13	103920513	-	GENCODE
Erbb2ip	ENSMUST00000169083.1	chr13	103920294	-	GENCODE
Erbb3	ENSMUST00000082059.6	chr10	128589651	-	GENCODE
Erbb4	ENSMUST00000119142.1	chr1	69107755	-	GENCODE
Erbb4	ENSMUST00000121473.1	chr1	69108058	-	GENCODE
Erc1	ENSMUST00000184864.1	chr6	119848058	-	GENCODE
Erc2	ENSMUST00000090302.5	chr14	27622441	+	GENCODE
Ercc1	ENSMUST00000003645.2	chr7	19344777	+	GENCODE
Ercc2	ENSMUST00000062831.9	chr7	19382009	+	GENCODE
Ercc3	ENSMUST00000025241.6	chr18	32240299	+	GENCODE
Ercc4	ENSMUST00000023206.7	chr16	13109683	+	GENCODE
Ercc5	ENSMUST00000027214.3	chr1	44147846	+	GENCODE
Ercc6	ENSMUST00000066807.6	chr14	32513520	+	GENCODE
Ercc6l	ENSMUST00000056904.2	chrX	102157090	-	GENCODE
Ercc6l2	ENSMUST00000067821.5	chr13	63815333	+	GENCODE
Ercc8	ENSMUST00000054835.8	chr13	108158737	+	GENCODE
Erdr1	ENSMUST00000177591.1,ENSMUST00000177671.1,ENSMUST00000179077.1	chrY	90785508	+	GENCODE
Ereg	ENSMUST00000031324.4	chr5	91074616	+	GENCODE
Erf	ENSMUST00000045847.8	chr7	25250760	-	GENCODE
Erg	ENSMUST00000113846.3	chr16	95530364	-	GENCODE
Erg	ENSMUST00000122199.1	chr16	95459347	-	GENCODE
Ergic1	ENSMUST00000167662.1	chr17	26561488	+	GENCODE
Ergic2	ENSMUST00000136008.1	chr6	148212373	-	GENCODE
Ergic3	ENSMUST00000006035.6	chr2	156008044	+	GENCODE
Erh	ENSMUST00000021559.7	chr12	80644340	-	GENCODE
Eri1	ENSMUST00000033927.6	chr8	35495532	-	GENCODE
Eri2	ENSMUST00000150844.1	chr7	119794057	-	GENCODE
Eri3	ENSMUST00000037127.8	chr4	117550364	+	GENCODE
Erich1	ENSMUST00000110813.3	chr8	14090326	-	GENCODE
Erich2	ENSMUST00000100041.2,ENSMUST00000134607.1	chr2	70508824	+	GENCODE
Erlec1	ENSMUST00000073192.7	chr11	30954151	-	GENCODE
Erlin1	ENSMUST00000112028.3,ENSMUST00000071698.6	chr19	44069779	-	GENCODE
Erlin1	ENSMUST00000170801.1	chr19	44069525	-	GENCODE
Erlin2	ENSMUST00000033873.7	chr8	27023798	+	GENCODE
Ermap	ENSMUST00000138395.1	chr4	119190010	-	GENCODE
Ermard	ENSMUST00000040594.8	chr17	15053058	+	GENCODE
Ermard	ENSMUST00000097393.3	chr17	15041640	+	GENCODE
Ermn	ENSMUST00000090940.5	chr2	58052863	-	GENCODE
Ermp1	ENSMUST00000159692.1	chr19	29648414	-	GENCODE
Ern1	ENSMUST00000001059.2	chr11	106487795	-	GENCODE
Ern2	ENSMUST00000033153.7	chr7	122186215	-	GENCODE
Ero1l	ENSMUST00000022378.7	chr14	45318571	-	GENCODE
