gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
EDDM3B	P1P2	chr14	+	CAGE, matched peaks	(21236554, 21236576)	(21236589, 21236600)
EDEM1	P1P2	chr3	+	CAGE, matched peaks	(5229382, 5229408)	(5229410, 5229426)
EDEM2	all	chr20	-	CAGE, robust peak	(33735070, 33735175)	(33735001, 33735006)
EDEM3	P1P2	chr1	-	CAGE, matched peaks	(184723942, 184724012)	(184723910, 184723928)
EDF1	P1P2	chr9	-	CAGE, matched peaks	(139760746, 139760769)	(139760717, 139760728)
EDIL3	P1P2	chr5	-	CAGE, matched peaks	(83680689, 83680709)	(83680603, 83680617)
EDN1	P1P2	chr6	+	CAGE, matched peaks	(12290586, 12290600)	(12290586, 12290600)
EDN2	P1P2	chr1	-	CAGE, matched peaks	(41950351, 41950357)	(41950299, 41950307)
EDNRA	P1P2	chr4	+	CAGE, matched peaks	(148402237, 148402276)	(148402109, 148402132)
EDNRB	P1P2	chr13	-	CAGE, matched peaks	(78492955, 78492973)	(78492927, 78492943)
EEA1	P1P2	chr12	-	CAGE, matched peaks	(93323013, 93323112)	(93323013, 93323112)
EED	P1P2	chr11	+	CAGE, matched peaks	(85955787, 85955854)	(85956225, 85956289)
EEF1A1	P1P2	chr6	-	CAGE, matched peaks	(74230741, 74230799)	(74230741, 74230799)
EEF1A2	P1P2	chr20	-	CAGE, matched peaks	(62130428, 62130472)	(62130474, 62130552)
EEF1B2	P1P2	chr2	+	CAGE, matched peaks	(207024612, 207024634)	(207024306, 207024392)
EEF1D	P1P2	chr8	-	CAGE, matched peaks	(144679575, 144679593)	(144679602, 144679617)
EEF1E1	P1P2	chr6	-	CAGE, matched peaks	(8102752, 8102806)	(8102287, 8102304)
EEF1G	P1P2	chr11	-	CAGE, matched peaks	(62341318, 62341402)	(62341476, 62341499)
EEF2	P1	chr19	-	CAGE, matched peaks	(3985455, 3985465)	(3985455, 3985465)
EEF2	P2	chr19	-	CAGE, matched peaks	(3984170, 3984233)	(3984170, 3984233)
EEF2K	P1P2	chr16	+	CAGE, matched peaks	(22217577, 22217667)	(22217672, 22217679)
EEFSEC	P1P2	chr3	+	CAGE, matched peaks	(127872265, 127872344)	(127872035, 127872053)
EEPD1	P1P2	chr7	+	CAGE, matched peaks	(36192855, 36192883)	(36192855, 36192883)
EFCAB11	P1P2	chr14	-	CAGE, matched peaks	(90421056, 90421100)	(90420862, 90420885)
EFCAB12	P1P2	chr3	-	CAGE, matched peaks	(129147432, 129147488)	(129147342, 129147370)
EFCAB14	P1P2	chr1	-	CAGE, matched peaks	(47184745, 47184826)	(47184745, 47184826)
EFCAB2	P1P2	chr1	+	CAGE, matched peaks	(245133673, 245133720)	(245132972, 245133020)
EFCAB4A	P1P2	chr11	+	CAGE, matched peaks	(830434, 830484)	(830434, 830484)
EFCAB4B	P1P2	chr12	-	CAGE, matched peaks	(3862245, 3862294)	(3862347, 3862371)
EFCAB5	P1P2	chr17	+	CAGE, matched peaks	(28256866, 28256905)	(28256910, 28256928)
EFCAB6	P1P2	chr22	-	CAGE, matched peaks	(44208137, 44208219)	(44208110, 44208135)
EFCAB7	P1P2	chr1	+	CAGE, matched peaks	(63989164, 63989229)	(63989004, 63989077)
EFEMP2	P1P2	chr11	-	CAGE, matched peaks	(65640198, 65640281)	(65640325, 65640346)
EFHB	P1P2	chr3	-	CAGE, matched peaks	(19988462, 19988489)	(19988462, 19988489)
EFHC2	P1P2	chrX	-	CAGE, matched peaks	(44202857, 44202928)	(44203082, 44203107)
EFHD1	P1P2	chr2	+	CAGE, matched peaks	(233498261, 233498337)	(233497961, 233497995)
EFHD2	P1P2	chr1	+	CAGE, matched peaks	(15736359, 15736463)	(15736359, 15736463)
EFNA1	P1P2	chr1	+	CAGE, matched peaks	(155100342, 155100359)	(155100366, 155100377)
EFNA2	P1P2	chr19	+	CAGE, matched peaks	(1286097, 1286145)	(1286055, 1286074)
EFNA3	P1	chr1	+	CAGE, matched peaks	(155036204, 155036238)	(155036204, 155036238)
EFNA3	P2	chr1	+	CAGE, matched peaks	(155051305, 155051367)	(155051305, 155051367)
EFNA4	P1P2	chr1	+	CAGE, matched peaks	(155036204, 155036238)	(155036187, 155036202)
EFNA5	all	chr5	-	CAGE, robust peak	(107006785, 107006834)	(107006390, 107006401)
EFNB1	P1P2	chrX	+	CAGE, matched peaks	(68048803, 68048892)	(68048792, 68048795)
EFNB2	P1P2	chr13	-	CAGE, matched peaks	(107187406, 107187424)	(107187656, 107187670)
EFR3A	P1P2	chr8	+	CAGE, matched peaks	(132916318, 132916401)	(132916452, 132916461)
EFTUD1	P1P2	chr15	-	CAGE, matched peaks	(82555000, 82555085)	(82554850, 82554864)
EFTUD2	P1P2	chr17	-	CAGE, matched peaks	(42976758, 42976827)	(42976985, 42977008)
EGF	P1P2	chr4	+	CAGE, matched peaks	(110834033, 110834047)	(110834062, 110834080)
EGFL6	P1P2	chrX	+	CAGE, matched peaks	(13587712, 13587750)	(13587827, 13587848)
EGFL7	P1	chr9	+	CAGE, matched peaks	(139557360, 139557376)	(139557360, 139557376)
EGFL7	P2	chr9	+	CAGE, matched peaks	(139560197, 139560266)	(139560197, 139560266)
EGFLAM	all	chr5	+	CAGE, robust peak	(38258322, 38258329)	(38258654, 38258667)
EGFR	P1P2	chr7	+	CAGE, matched peaks	(55086703, 55086717)	(55086794, 55086803)
EGLN1	P1P2	chr1	-	CAGE, matched peaks	(231558007, 231558061)	(231558071, 231558082)
EGLN2	P1	chr19	+	CAGE, matched peaks	(41305085, 41305142)	(41305085, 41305142)
EGLN2	P2	chr19	+	CAGE, matched peaks	(41284135, 41284211)	(41284135, 41284211)
EGLN3	P1P2	chr14	-	CAGE, matched peaks	(34420259, 34420291)	(34420259, 34420291)
EGR1	P1	chr5	+	CAGE, matched peaks	(137801160, 137801176)	(137801160, 137801176)
EGR1	P2	chr5	+	CAGE, matched peaks	(137804484, 137804498)	(137804484, 137804498)
EGR2	P1P2	chr10	-	CAGE, matched peaks	(64576105, 64576133)	(64576035, 64576046)
EGR3	P1P2	chr8	-	CAGE, matched peaks	(22550982, 22550999)	(22550530, 22550609)
EGR4	P1P2	chr2	-	CAGE, matched peaks	(73520667, 73520683)	(73520514, 73520536)
EHBP1	P1P2	chr2	+	CAGE, matched peaks	(62932779, 62932882)	(62932901, 62932935)
EHBP1L1	P1P2	chr11	+	CAGE, matched peaks	(65343494, 65343598)	(65343290, 65343329)
EHD1	P1P2	chr11	-	CAGE, matched peaks	(64646086, 64646101)	(64645991, 64646005)
EHD2	P1P2	chr19	+	CAGE, matched peaks	(48216669, 48216685)	(48216669, 48216685)
EHD3	P1P2	chr2	+	CAGE, matched peaks	(31457010, 31457032)	(31456969, 31457006)
EHD4	P1P2	chr15	-	CAGE, matched peaks	(42264702, 42264812)	(42264819, 42264826)
EHF	P1P2	chr11	+	CAGE, matched peaks	(34642612, 34642646)	(34642656, 34642667)
EHHADH	P1P2	chr3	-	CAGE, matched peaks	(184971817, 184971844)	(184971853, 184971871)
EHMT1	P1P2	chr9	+	CAGE, matched peaks	(140513438, 140513483)	(140513438, 140513483)
EHMT2	P1P2	chr6	-	CAGE, matched peaks	(31865452, 31865484)	(31865338, 31865369)
EI24	P1P2	chr11	+	CAGE, matched peaks	(125439301, 125439385)	(125439386, 125439406)
EID1	P1P2	chr15	+	CAGE, matched peaks	(49170281, 49170365)	(49170113, 49170133)
EID2	P1P2	chr19	-	CAGE, matched peaks	(40030784, 40030808)	(40030811, 40030848)
EID2B	P1P2	chr19	-	CAGE, matched peaks	(40023450, 40023497)	(40023499, 40023517)
EID3	P1P2	chr12	+	CAGE, matched peaks	(104697504, 104697585)	(104697661, 104697674)
EIF1	P1P2	chr17	+	CAGE, matched peaks	(39845134, 39845142)	(39845744, 39845808)
EIF1AD	P1P2	chr11	-	CAGE, matched peaks	(65769594, 65769645)	(65769573, 65769591)
EIF1AX	P1P2	chrX	-	CAGE, matched peaks	(20159934, 20159976)	(20160070, 20160107)
EIF1AY	P1P2	chrY	+	CAGE, matched peaks	(22737619, 22737669)	(22737678, 22737720)
EIF1B	P1P2	chr3	+	CAGE, matched peaks	(40351169, 40351206)	(40351254, 40351275)
EIF2A	P1P2	chr3	+	CAGE, matched peaks	(150264555, 150264592)	(150264458, 150264469)
EIF2AK1	P1P2	chr7	-	CAGE, matched peaks	(6098770, 6098813)	(6098754, 6098768)
EIF2AK2	P1P2	chr2	-	CAGE, matched peaks	(37384085, 37384134)	(37384085, 37384134)
EIF2AK3	P1P2	chr2	-	CAGE, matched peaks	(88926924, 88927010)	(88926889, 88926902)
EIF2AK4	P1P2	chr15	+	CAGE, matched peaks	(40226304, 40226387)	(40226262, 40226273)
EIF2B1	P1P2	chr12	-	CAGE, matched peaks	(124118175, 124118253)	(124118296, 124118308)
EIF2B2	P1P2	chr14	+	CAGE, matched peaks	(75469606, 75469690)	(75469591, 75469602)
EIF2B3	P1P2	chr1	-	CAGE, matched peaks	(45452240, 45452287)	(45452208, 45452219)
EIF2B4	P1P2	chr2	-	CAGE, matched peaks	(27593180, 27593221)	(27593261, 27593272)
EIF2B5	P1P2	chr3	+	CAGE, matched peaks	(183853132, 183853179)	(183852789, 183852814)
EIF2D	P1P2	chr1	-	CAGE, matched peaks	(206785789, 206785833)	(206785734, 206785771)
EIF2S1	P1P2	chr14	+	CAGE, matched peaks	(67827022, 67827087)	(67827096, 67827111)
EIF2S2	P1P2	chr20	-	CAGE, matched peaks	(32700012, 32700059)	(32700075, 32700090)
EIF2S3	P1P2	chrX	+	CAGE, matched peaks	(24073048, 24073087)	(24072744, 24072791)
EIF3A	P1P2	chr10	-	CAGE, matched peaks	(120840309, 120840338)	(120840292, 120840303)
EIF3B	P1P2	chr7	+	CAGE, matched peaks	(2394445, 2394550)	(2393714, 2393749)
EIF3C	P1P2	chr16	+	CAGE, matched peaks	(28722774, 28722807)	(28722809, 28722820)
EIF3CL	all	chr16	-	Annotation	(28415174.666666668, 28415174.666666668)	(28415174.666666668, 28415174.666666668)
EIF3D	P1P2	chr22	-	CAGE, matched peaks	(36925186, 36925227)	(36925159, 36925173)
EIF3E	P1P2	chr8	-	CAGE, matched peaks	(109260930, 109260958)	(109260930, 109260958)
EIF3F	P1P2	chr11	+	CAGE, matched peaks	(8008875, 8008892)	(8008875, 8008892)
EIF3G	P1P2	chr19	-	CAGE, matched peaks	(10230565, 10230602)	(10230544, 10230556)
EIF3H	P1P2	chr8	-	CAGE, matched peaks	(117768034, 117768069)	(117768034, 117768069)
EIF3I	P1P2	chr1	+	CAGE, matched peaks	(32687995, 32688014)	(32688016, 32688027)
EIF3J	P1P2	chr15	+	CAGE, matched peaks	(44829334, 44829384)	(44829283, 44829331)
EIF3K	P1P2	chr19	+	CAGE, matched peaks	(39109817, 39109853)	(39109858, 39109881)
EIF3L	P1P2	chr22	+	CAGE, matched peaks	(38245414, 38245436)	(38245414, 38245436)
EIF3M	P1P2	chr11	+	CAGE, matched peaks	(32605350, 32605410)	(32605338, 32605349)
EIF4A1	P1P2	chr17	+	CAGE, matched peaks	(7476136, 7476151)	(7476136, 7476151)
EIF4A2	P1	chr3	+	CAGE, matched peaks	(186501357, 186501378)	(186501357, 186501378)
EIF4A2	P2	chr3	+	CAGE, matched peaks	(186502824, 186502860)	(186502824, 186502860)
EIF4A3	P1P2	chr17	-	CAGE, matched peaks	(78120936, 78120992)	(78120897, 78120913)
EIF4B	P1P2	chr12	+	CAGE, matched peaks	(53400176, 53400271)	(53400046, 53400071)
EIF4E	P1P2	chr4	-	CAGE, matched peaks	(99850268, 99850302)	(99851024, 99851056)
EIF4E1B	P1P2	chr5	+	CAGE, matched peaks	(176057594, 176057615)	(176057663, 176057681)
EIF4E2	P1P2	chr2	+	CAGE, matched peaks	(233415363, 233415425)	(233415769, 233415825)
EIF4E3	P1P2	chr3	-	CAGE, matched peaks	(71774516, 71774587)	(71774516, 71774587)
EIF4EBP1	P1P2	chr8	+	CAGE, matched peaks	(37888016, 37888092)	(37887772, 37887791)
EIF4EBP2	P1P2	chr10	+	CAGE, matched peaks	(72163885, 72163919)	(72163885, 72163919)
EIF4EBP3	P1P2	chr5	+	CAGE, matched peaks	(139927213, 139927271)	(139927293, 139927305)
EIF4ENIF1	P1P2	chr22	-	CAGE, matched peaks	(31885747, 31885858)	(31885514, 31885557)
EIF4G1	P1P2	chr3	+	CAGE, matched peaks	(184032313, 184032416)	(184032919, 184033008)
EIF4G2	P1	chr11	-	CAGE, matched peaks	(10830463, 10830494)	(10830463, 10830494)
EIF4G2	P2	chr11	-	CAGE, matched peaks	(10828892, 10828935)	(10828892, 10828935)
EIF4G3	P1	chr1	-	CAGE, matched peaks	(21503337, 21503407)	(21503337, 21503407)
EIF4G3	P2	chr1	-	CAGE, matched peaks	(21377447, 21377474)	(21377447, 21377474)
EIF4H	P1P2	chr7	+	CAGE, matched peaks	(73588665, 73588691)	(73588654, 73588663)
EIF5	P1	chr14	+	CAGE, matched peaks	(103800513, 103800583)	(103800513, 103800583)
EIF5	P2	chr14	+	CAGE, matched peaks	(103803026, 103803092)	(103803026, 103803092)
EIF5A	P1P2	chr17	+	CAGE, matched peaks	(7210921, 7210983)	(7210898, 7210918)
EIF5A2	P1P2	chr3	-	CAGE, matched peaks	(170626376, 170626413)	(170626418, 170626454)
EIF5AL1	P1P2	chr10	+	CAGE, matched peaks	(81272287, 81272299)	(81272287, 81272299)
EIF5B	P1P2	chr2	+	CAGE, matched peaks	(99953827, 99953894)	(99953983, 99954001)
EIF6	P1P2	chr20	-	CAGE, matched peaks	(33872548, 33872604)	(33872284, 33872387)
ELAC1	P1P2	chr18	+	CAGE, matched peaks	(48494379, 48494426)	(48494354, 48494363)
ELAC2	P1P2	chr17	-	CAGE, matched peaks	(12921270, 12921359)	(12920974, 12920987)
ELANE	P1P2	chr19	+	CAGE, matched peaks	(852295, 852310)	(853278, 853299)
ELAVL1	P1P2	chr19	-	CAGE, matched peaks	(8070474, 8070564)	(8070474, 8070564)
ELAVL2	P1	chr9	-	CAGE, matched peaks	(23826298, 23826344)	(23826298, 23826344)
ELAVL2	P2	chr9	-	CAGE, matched peaks	(23821808, 23821827)	(23821808, 23821827)
ELAVL3	P1	chr19	-	CAGE, matched peaks	(11591859, 11591865)	(11591859, 11591865)
ELAVL3	P2	chr19	-	CAGE, matched peaks	(11564569, 11564588)	(11564569, 11564588)
ELAVL4	P1P2	chr1	+	CAGE, matched peaks	(50574585, 50574627)	(50575491, 50575526)
ELF1	P1P2	chr13	-	CAGE, matched peaks	(41593425, 41593480)	(41593425, 41593480)
ELF2	P1P2	chr4	-	CAGE, matched peaks	(140098339, 140098392)	(140098339, 140098392)
ELF3	P1P2	chr1	+	CAGE, matched peaks	(201979743, 201979762)	(201979703, 201979721)
ELF4	P1P2	chrX	-	CAGE, matched peaks	(129244454, 129244488)	(129244840, 129244881)
ELF5	P1P2	chr11	-	CAGE, matched peaks	(34535297, 34535317)	(34535332, 34535347)
ELFN1	ENST00000424383.2	chr7	+	Annotation	(1727754.0, 1727754.0)	(1727754.0, 1727754.0)
ELFN1	ENST00000561626.1	chr7	+	Annotation	(1748797.0, 1748797.0)	(1748797.0, 1748797.0)
ELK1	P1P2	chrX	-	CAGE, matched peaks	(47509928, 47509990)	(47509994, 47510008)
ELK3	P1P2	chr12	+	CAGE, matched peaks	(96588143, 96588185)	(96588219, 96588263)
ELK4	P1P2	chr1	-	CAGE, matched peaks	(205601093, 205601158)	(205601000, 205601055)
ELL	P1P2	chr19	-	CAGE, matched peaks	(18632861, 18632887)	(18632861, 18632887)
ELL2	P1P2	chr5	-	CAGE, matched peaks	(95297534, 95297563)	(95297464, 95297507)
ELL3	P1P2	chr15	-	CAGE, matched peaks	(44069156, 44069208)	(44069517, 44069531)
ELMO1	P1P2	chr7	-	CAGE, matched peaks	(37488448, 37488517)	(37488448, 37488517)
ELMO2	P1P2	chr20	-	CAGE, matched peaks	(45035223, 45035280)	(45035208, 45035217)
ELMO3	P1P2	chr16	+	CAGE, matched peaks	(67233007, 67233061)	(67233007, 67233061)
ELMOD1	P1P2	chr11	+	CAGE, matched peaks	(107461948, 107462009)	(107461804, 107461882)
ELMOD2	P1P2	chr4	+	CAGE, matched peaks	(141445311, 141445332)	(141445333, 141445362)
ELMOD3	P1P2	chr2	+	CAGE, matched peaks	(85581864, 85581907)	(85581864, 85581907)
ELMSAN1	P1	chr14	-	CAGE, matched peaks	(74226961, 74227020)	(74226961, 74227020)
ELMSAN1	P2	chr14	-	CAGE, matched peaks	(74253865, 74253917)	(74253865, 74253917)
ELN	P1P2	chr7	+	CAGE, matched peaks	(73442494, 73442517)	(73442422, 73442447)
ELOF1	P1P2	chr19	-	CAGE, matched peaks	(11670032, 11670064)	(11670139, 11670176)
ELOVL1	P1P2	chr1	-	CAGE, matched peaks	(43833628, 43833703)	(43833263, 43833293)
ELOVL2	P1P2	chr6	-	CAGE, matched peaks	(11044509, 11044582)	(11044656, 11044679)
ELOVL3	P1P2	chr10	+	CAGE, matched peaks	(103986083, 103986113)	(103986050, 103986062)
ELOVL4	P1P2	chr6	-	CAGE, matched peaks	(80657260, 80657276)	(80657292, 80657301)
ELOVL5	P1P2	chr6	-	CAGE, matched peaks	(53213700, 53213772)	(53213780, 53213785)
ELOVL6	P1P2	chr4	-	CAGE, matched peaks	(111119662, 111119731)	(111119735, 111119778)
ELOVL7	P1P2	chr5	-	CAGE, matched peaks	(60140089, 60140118)	(60140009, 60140050)
ELP2	P1P2	chr18	+	CAGE, matched peaks	(33709851, 33709893)	(33709453, 33709499)
ELP3	P1P2	chr8	+	CAGE, matched peaks	(27950629, 27950707)	(27950349, 27950384)
ELP4	P1P2	chr11	+	CAGE, matched peaks	(31531291, 31531345)	(31531446, 31531460)
ELP5	P1P2	chr17	+	CAGE, matched peaks	(7155819, 7155895)	(7155557, 7155637)
ELP6	P1P2	chr3	-	CAGE, matched peaks	(47555167, 47555208)	(47554791, 47554860)
ELSPBP1	P1P2	chr19	+	CAGE, matched peaks	(48497919, 48497949)	(48497882, 48497895)
EMC1	P1P2	chr1	-	CAGE, matched peaks	(19578005, 19578041)	(19578208, 19578236)
EMC10	P1P2	chr19	+	CAGE, matched peaks	(50979753, 50979801)	(50979727, 50979749)
EMC2	P1P2	chr8	+	CAGE, matched peaks	(109455845, 109455889)	(109455830, 109455841)
EMC3	P1	chr3	-	CAGE, matched peaks	(10028471, 10028552)	(10028471, 10028552)
EMC3	P2	chr3	-	CAGE, matched peaks	(10052763, 10052816)	(10052763, 10052816)
EMC4	P1P2	chr15	+	CAGE, matched peaks	(34517194, 34517246)	(34517251, 34517276)
EMC6	P1P2	chr17	+	CAGE, matched peaks	(3572087, 3572119)	(3572087, 3572119)
EMC7	P1P2	chr15	-	CAGE, matched peaks	(34394040, 34394088)	(34394119, 34394130)
EMC8	P1P2	chr16	-	CAGE, matched peaks	(85833109, 85833158)	(85833086, 85833107)
EMC9	P1P2	chr14	-	CAGE, matched peaks	(24610792, 24610834)	(24610694, 24610724)
EMD	P1P2	chrX	+	CAGE, matched peaks	(153607696, 153607786)	(153607564, 153607693)
EME1	P1P2	chr17	+	CAGE, matched peaks	(48450575, 48450618)	(48450575, 48450618)
EME2	P1P2	chr16	+	CAGE, matched peaks	(1823181, 1823218)	(1823181, 1823218)
EMG1	P1P2	chr12	+	CAGE, matched peaks	(7080067, 7080090)	(7079961, 7079999)
EMID1	P1P2	chr22	+	CAGE, matched peaks	(29601867, 29601951)	(29602017, 29602028)
EMILIN1	P1P2	chr2	+	CAGE, matched peaks	(27301468, 27301496)	(27301500, 27301546)
EMILIN2	P1P2	chr18	+	CAGE, matched peaks	(2846972, 2847027)	(2847074, 2847091)
EML2	P1	chr19	-	CAGE, matched peaks	(46142637, 46142678)	(46142637, 46142678)
EML2	P2	chr19	-	CAGE, matched peaks	(46148564, 46148629)	(46148564, 46148629)
EML3	P1P2	chr11	-	CAGE, matched peaks	(62380199, 62380265)	(62379994, 62380022)
EML4	P1P2	chr2	+	CAGE, matched peaks	(42396472, 42396563)	(42396574, 42396604)
EML5	P1P2	chr14	-	CAGE, matched peaks	(89259268, 89259310)	(89259135, 89259181)
EML6	P1P2	chr2	+	CAGE, matched peaks	(54950835, 54950868)	(54950793, 54950815)
EMP1	P1P2	chr12	+	CAGE, matched peaks	(13349711, 13349728)	(13349652, 13349667)
EMP2	P1P2	chr16	-	CAGE, matched peaks	(10674434, 10674462)	(10674528, 10674551)
EMP3	P1P2	chr19	+	CAGE, matched peaks	(48828788, 48828853)	(48828606, 48828637)
EMR2	P1	chr19	-	CAGE, matched peaks	(14887645, 14887660)	(14887645, 14887660)
EMR2	P2	chr19	-	CAGE, matched peaks	(14889364, 14889381)	(14889364, 14889381)
EMX1	P1	chr2	+	CAGE, matched peaks	(73144617, 73144654)	(73144617, 73144654)
EMX1	P2	chr2	+	CAGE, matched peaks	(73143433, 73143476)	(73143433, 73143476)
EMX2	P1P2	chr10	+	CAGE, matched peaks	(119302232, 119302265)	(119303078, 119303169)
EN1	P1P2	chr2	-	CAGE, matched peaks	(119605214, 119605230)	(119605214, 119605230)
EN2	P1P2	chr7	+	CAGE, matched peaks	(155250981, 155250985)	(155251013, 155251014)
ENAH	P1P2	chr1	-	CAGE, matched peaks	(225840783, 225840860)	(225841018, 225841044)
ENC1	P1P2	chr5	-	CAGE, matched peaks	(73936544, 73936561)	(73936309, 73936444)
ENDOD1	P1P2	chr11	+	CAGE, matched peaks	(94822968, 94823042)	(94823060, 94823069)
ENDOG	P1P2	chr9	+	CAGE, matched peaks	(131580771, 131580786)	(131580734, 131580764)
ENDOU	P1P2	chr12	-	CAGE, matched peaks	(48119266, 48119279)	(48119301, 48119329)
ENDOV	P1P2	chr17	+	CAGE, matched peaks	(78388959, 78388994)	(78389247, 78389287)
ENG	P1P2	chr9	-	CAGE, matched peaks	(130616926, 130616944)	(130616980, 130617005)
ENGASE	P1P2	chr17	+	CAGE, matched peaks	(77070978, 77071032)	(77070904, 77070908)
ENHO	P1P2	chr9	-	CAGE, matched peaks	(34522966, 34523007)	(34523048, 34523079)
ENKD1	P1P2	chr16	-	CAGE, matched peaks	(67700594, 67700665)	(67700284, 67700313)
ENO1	P1P2	chr1	-	CAGE, matched peaks	(8938736, 8938756)	(8938766, 8938774)
ENO2	P1P2	chr12	+	CAGE, matched peaks	(7023735, 7023765)	(7023712, 7023727)
ENO3	P1	chr17	+	CAGE, matched peaks	(4854406, 4854420)	(4854406, 4854420)
ENO3	P2	chr17	+	CAGE, matched peaks	(4851632, 4851670)	(4851632, 4851670)
ENOPH1	P1P2	chr4	+	CAGE, matched peaks	(83351716, 83351786)	(83351938, 83351981)
ENOSF1	P1P2	chr18	-	CAGE, matched peaks	(712618, 712680)	(712596, 712614)
ENOX1	P1P2	chr13	-	CAGE, matched peaks	(44361025, 44361052)	(44361058, 44361095)
ENOX2	P1P2	chrX	-	CAGE, matched peaks	(130037162, 130037190)	(130037198, 130037234)
ENPEP	P1P2	chr4	+	CAGE, matched peaks	(111397303, 111397320)	(111397365, 111397385)
ENPP1	P1P2	chr6	+	CAGE, matched peaks	(132129151, 132129166)	(132129222, 132129255)
ENPP2	P1P2	chr8	-	CAGE, matched peaks	(120651070, 120651091)	(120651070, 120651091)
ENPP3	P1	chr6	+	CAGE, matched peaks	(131958436, 131958450)	(131958436, 131958450)
ENPP3	P2	chr6	+	CAGE, matched peaks	(131949567, 131949594)	(131949567, 131949594)
ENPP4	P1P2	chr6	+	CAGE, matched peaks	(46097776, 46097804)	(46097805, 46097860)
ENPP6	P1P2	chr4	-	CAGE, matched peaks	(185139008, 185139052)	(185139062, 185139078)
ENPP7	P1P2	chr17	+	CAGE, matched peaks	(77704870, 77704893)	(77704870, 77704893)
ENSA	P1P2	chr1	-	CAGE, matched peaks	(150602046, 150602095)	(150601588, 150601631)
ENTHD2	P1P2	chr17	-	CAGE, matched peaks	(79212825, 79212865)	(79212884, 79212895)
ENTPD1	P1P2	chr10	+	CAGE, matched peaks	(97515907, 97515927)	(97515494, 97515508)
ENTPD4	P1P2	chr8	-	CAGE, matched peaks	(23315131, 23315183)	(23315190, 23315235)
ENTPD5	P1P2	chr14	-	CAGE, matched peaks	(74485960, 74486017)	(74485960, 74486017)
ENTPD6	P1P2	chr20	+	CAGE, matched peaks	(25176318, 25176400)	(25176450, 25176471)
ENTPD7	P1P2	chr10	+	CAGE, matched peaks	(101419187, 101419313)	(101419095, 101419106)
ENTPD8	P1P2	chr9	-	CAGE, matched peaks	(140335789, 140335818)	(140335789, 140335818)
ENY2	P1P2	chr8	+	CAGE, matched peaks	(110346546, 110346619)	(110346546, 110346619)
EOGT	P1P2	chr3	-	CAGE, matched peaks	(69062790, 69062855)	(69062764, 69062788)
EOMES	P1P2	chr3	-	CAGE, matched peaks	(27763807, 27763822)	(27764190, 27764208)
EP300	P1P2	chr22	+	CAGE, matched peaks	(41487711, 41487798)	(41488590, 41488631)
EP400	P1P2	chr12	+	CAGE, matched peaks	(132434439, 132434555)	(132434439, 132434555)
EPAS1	P1P2	chr2	+	CAGE, matched peaks	(46524537, 46524553)	(46524897, 46524911)
EPB41	P1	chr1	+	CAGE, matched peaks	(29213584, 29213666)	(29213584, 29213666)
EPB41	P2	chr1	+	CAGE, matched peaks	(29241027, 29241095)	(29241027, 29241095)
EPB41L1	P1P2	chr20	+	CAGE, matched peaks	(34742650, 34742678)	(34742650, 34742678)
EPB41L2	P1P2	chr6	-	CAGE, matched peaks	(131384373, 131384397)	(131384373, 131384397)
EPB41L3	P1P2	chr18	-	CAGE, matched peaks	(5543988, 5544019)	(5543988, 5544019)
EPB41L4A	P1P2	chr5	-	CAGE, matched peaks	(111754901, 111754946)	(111754948, 111754993)
EPB41L4B	P1P2	chr9	-	CAGE, matched peaks	(112082679, 112082743)	(112083229, 112083348)
EPB41L5	P1P2	chr2	+	CAGE, matched peaks	(120770645, 120770669)	(120770686, 120770696)
EPB42	P1P2	chr15	-	CAGE, matched peaks	(43513187, 43513251)	(43513152, 43513168)
EPC1	P1P2	chr10	-	CAGE, matched peaks	(32636038, 32636099)	(32636038, 32636099)
EPC2	P1P2	chr2	+	CAGE, matched peaks	(149402275, 149402341)	(149402545, 149402605)
EPCAM	P1P2	chr2	+	CAGE, matched peaks	(47596415, 47596470)	(47596330, 47596380)
EPG5	P1P2	chr18	-	CAGE, matched peaks	(43547223, 43547312)	(43547206, 43547218)
EPHA1	P1P2	chr7	-	CAGE, matched peaks	(143105941, 143105973)	(143105915, 143105938)
EPHA10	P1	chr1	-	CAGE, matched peaks	(38218882, 38218927)	(38218882, 38218927)
EPHA10	P2	chr1	-	CAGE, matched peaks	(38230778, 38230827)	(38230778, 38230827)
EPHA2	P1P2	chr1	-	CAGE, matched peaks	(16482554, 16482576)	(16482527, 16482546)
EPHA3	P1P2	chr3	+	CAGE, matched peaks	(89156763, 89156797)	(89156832, 89156848)
EPHA4	P1P2	chr2	-	CAGE, matched peaks	(222436988, 222437031)	(222437049, 222437061)
EPHA5	P1P2	chr4	-	CAGE, matched peaks	(66536169, 66536189)	(66536196, 66536216)
EPHA6	P1P2	chr3	+	CAGE, matched peaks	(96533413, 96533443)	(96533397, 96533411)
EPHA7	P1P2	chr6	-	CAGE, matched peaks	(94129263, 94129284)	(94129300, 94129311)
EPHA8	P1P2	chr1	+	CAGE, matched peaks	(22889953, 22890005)	(22889953, 22890005)
EPHB1	P1P2	chr3	+	CAGE, matched peaks	(134514093, 134514169)	(134514093, 134514169)
EPHB2	P1P2	chr1	+	CAGE, matched peaks	(23037323, 23037338)	(23037323, 23037338)
EPHB3	P1P2	chr3	+	CAGE, matched peaks	(184279566, 184279583)	(184279538, 184279547)
